"ValgId";"Kategori";"Valgdag";"Vej dato";"Statistik dato"
"29";"FV";"20150618";"20150601";"20100101"
"30";"FV";"20110915";"20110901";"20100101"
"31";"FV";"20071113";"20080101";"20050101"
"152";"FV";"19791023";"19791023";"19800101"
"153";"FV";"19811208";"19811208";"19800101"
"154";"FV";"19840110";"19840110";"19850101"
"155";"FV";"19870908";"19870908";"19850101"
"156";"FV";"19880510";"19880510";"19900101"
"157";"FV";"19901212";"19900101";"19900101"
"158";"FV";"19940921";"19940922";"19950101"
"159";"FV";"19980311";"19980311";"20000101"
"160";"FV";"20011120";"20010101";"20000101"
"196";"FV";"20050208";"20050101";"20050101"
"275";"FV";"20190605";"20190525";"20100101"